AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
,,,,,,,,,,,,,,,,27.12.2002,,953/02(neu),,Mitteilung der Bundesregierung zu der Entschließung des Bundesrates zu der Ersten Verordnung zur Durchführung des Betriebsverfassungsgesetzes (Wahlordnung - WO),2002
,,,,,,,,,,,,,,,,20.12.2002,,952/02,,Mitteilung der Bundesregierung zu der Entschließung des Bundesrates zur rechtlichen Absicherung der Drittmittelförderung,2002
,,,,,,,,,,,,,,,,30.12.2002,,951/02,,Mitteilung der Bundesregierung zu der Entschließung des Bundesrates zum Gesetz zur Änderung des Seemannsgesetzes und anderer Gesetze,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),27.12.2002,Fz,950/02,0,Bestellung eines Mitglieds des Verwaltungsrates der Kreditanstalt für Wiederaufbau,2002
,,,,,,,,,,,,,,,,20.12.2002,,949/02,,Entschließung des Europäischen Parlaments zum Gesetzgebungs- und Arbeitsprogramm der Kommission für 2003,2002
,,,,,,,,,,,,,,,,20.12.2002,,948/02,,Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für eine Verordnung des Rates zur Einführung einer Sofortmaßnahme der Gemeinschaft für das Abwracken von Fischereifahrzeugen,2002
,,,,,,,,,,,,,,,,20.12.2002,,947/02,,Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für eine Verordnung des Rates zur Änderung der Verordnung (EG) Nr. 2792/1999 zur Festlegung der Modalitäten und Bedingungen für die gemeinschaftlichen Strukturmaßnahmen im Fischereisektor,2002
,,,,,,,,,,,,,,,,20.12.2002,,946/02,,Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für eine Verordnung des Rates über die Erhaltung und nachhaltige Nutzung der Fischereiressourcen im Rahmen der Gemeinsamen Fischereipolitik,2002
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,A (fdf) - G - U,20.12.2002,A,945/02,0,Entschließung des Bundesrates zum Pflanzenschutz,2002
,,,,,,,,,,,,,,,,18.12.2002,,944/02,,Mitteilung der Bundesregierung zu der Entschließung des Bundesrates zur Verordnung über Ausnahmen zum Verbringungs- und Einfuhrverbot von gefährlichen Hunden in das Inland (Hundeverbringungs- und -einfuhrverordnung - HundVerbrEinfVO),2002
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Fz (fdf) - A - Wi,19.12.2002,Fz,943/02,0,Allgemeine Verwaltungsvorschrift zur Anwendung des Erbschaftsteuer- und Schenkungsteuerrechts (Erbschaftsteuer-Richtlinien 2003 - ErbStR 2003),2002
,,,,,,,,,,,,,,,,16.12.2002,,942/02,,Entschließung des Europäischen Parlaments zu der Mitteilung der Kommission zu Biowissenschaften und Biotechnologie - Eine Strategie für Europa,2002
,,,,,,,,,,,,,,,,16.12.2002,,941/02,,Entschließung des Europäischen Parlaments zur Prävention des Rauchens und für Initiativen zur gezielteren Bekämpfung des Tabakkonsums,2002
,,,,,,,,,,,,,,,,16.12.2002,,940/02,,Entschließung des Europäischen Parlaments zu der Mitteilung der Kommission über einen Aktionsplan der Gemeinschaft zur Einbeziehung der Erfordernisse des Umweltschutzes in die Gemeinsame Fischereipolitik,2002
,,,,,,,,,,,,,,,,16.12.2002,,939/02,,Entschließung des Europäischen Parlaments zur Medienkonzentration,2002
,,,,,,,,,,,,,,,,16.12.2002,,938/02,,Entschließung des Europäischen Parlaments zu den Fortschritten jedes Bewerberlandes auf dem Weg zum Beitritt,2002
