AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),30.01.2006,In,88/06,0,Vorschlag fÌ_r die Berufung von zwei Mitgliedern und zwei stellvertretenden Mitgliedern des Stiftungsrates der Heimkehrerstiftung,2006;
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),30.01.2006,In,87/06,0,Benennung von zwei Mitgliedern und zwei stellvertretenden Mitgliedern des Stiftungsrates der Stiftung fÌ_r ehemalige politische HÌ_ftlinge,2006;
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vk (fdf),30.01.2006,Vk,86/06,0,Benennung der Mitglieder fÌ_r den Eisenbahninfrastrukturbeirat,2006;
,,,,,,,,,,,,,,,,20.01.2006,,85/06,,EntschlieÌÙung des EuropÌ_ischen Parlaments zu den europÌ_ischen Vorschriften und MÌ_rkten im Bereich der elektronischen Kommunikation 2004,2006;
,,,,,,,,,,,,,,,,20.01.2006,,84/06,,EntschlieÌÙung des EuropÌ_ischen Parlaments zu Entwicklung und Sport,2006;
,,,,,,,,,,,,,,,,20.01.2006,,83/06,,EntschlieÌÙung des EuropÌ_ischen Parlaments zu den Vorbereitungen fÌ_r die Sechste Ministerkonferenz der Welthandelsorganisation in Hongkong,2006;
",,,,,,,,,,,,,,,,20.01.2006,,82/06,,""Legislative EntschlieÌÙung des EuropÌ_ischen Parlaments zu dem Vorschlag fÌ_r eine Beschluss des Rates Ì_ber den Abschluss des Zusatzprotokolls zum Abkommen Ì_ber Handel, Entwicklung und Zusammenarbeit zwischen der EuropÌ_ischen Gemeinschaft und ihren Mitgliedstaaten einerseits und der Republik SÌ_dafrika andererseits anlÌ_sslich des Beitritts der Tschechischen Republik, der Republik Estland, der Republik Zypern, der Republik Lettland, der Republik Litauen, der Republik Ungarn, der Republik Malta, der Republik Polen, der Republik Slowenien und der Slowakischen Republik zur EuropÌ_ischen Union"",2006";
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,In (fdf) - A - FJ - R,27.01.2006,In,81/06,0,Allgemeine Verwaltungsvorschrift zum Waffengesetz (WaffVwV),2006;
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Fz (fdf) - Vk,27.01.2006,Fz,80/06,0,Entwurf eines Gesetzes zu dem Abkommen vom 2. MÌ_rz 2005 zwischen der Bundesrepublik Deutschland und der Republik Jemen zur Vermeidung der Doppelbesteuerung von Luftfahrtunternehmen auf dem Gebiet der Steuern vom Einkommen und vom VermÌ¦gen,2006;
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Vk (fdf) - AS - Wi,27.01.2006,Vk,79/06,0,Dritte Verordnung zur Ìãnderung der Bodenabfertigungsdienst-Verordnung,2006;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),26.01.2006,A,78/06,0,Neunte Verordnung zur Ìãnderung der Binnenmarkt-Tierseuchenschutzverordnung,2006;
0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,A (fdf) - G - K - U - Wi,27.01.2006,A,77/06,0,Verordnung zur Ìãnderung gentechnikrechtlicher Vorschriften,2006;
"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),27.01.2006,Fz,76/06,0,""Entwurf eines Gesetzes zu dem ÌÏbereinkommen vom 8. Dezember 2004 Ì_ber den Beitritt der Tschechischen Republik, der Republik Estland, der Republik Zypern, der Republik Lettland, der Republik Litauen, der Republik Ungarn, der Republik Malta, der Republik Polen, der Republik Slowenien und der Slowakischen Republik zu dem ÌÏbereinkommen Ì_ber die Beseitigung der Doppelbesteuerung im Falle von Gewinnberichtigungen zwischen verbundenen Unternehmen"",2006";
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AS (fdf) - Vk,27.01.2006,AS,75/06,0,Entwurf eines Gesetzes zu dem ÌÏbereinkommen Nr. 166 der Internationalen Arbeitsorganisation vom 9. Oktober 1987 Ì_ber die Heimschaffung der Seeleute (Neufassung),2006;
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AS (fdf) - Vk,27.01.2006,AS,74/06,0,Entwurf eines Gesetzes zu dem ÌÏbereinkommen Nr. 146 der Internationalen Arbeitsorganisation vom 29. Oktober 1976 Ì_ber den bezahlten Jahresurlaub der Seeleute,2006;
