AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
,,,,,,,,,,,,,,,,13.12.2013,,824/13,,EntschlieÌÙungen des EuropÌ_ischen Parlaments,2013;;;;;;
,,,,,,,,,,,,,,,,23.12.2013,,823/13,,Stellungnahme der Bundesregierung zu der EntschlieÌÙung des Bundesrates zum Gesetz zur Ìãnderung des Transplantationsgesetzes,2013;;;;;;
,,,,,,,,,,,,,,,,02.12.2013,,822/13,,EntschlieÌÙungen des EuropÌ_ischen Parlaments,2013;;;;;;
"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),20.12.2013,Fz,821/13,0,""HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 37 Absatz 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 0704, Titel 632 01 """"Verwaltungskostenerstattung an LÌ_nder"""" bis zur HÌ¦he von 5.556 T‰âÂ"",2013";;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),20.12.2013,Fz,820/13,0,HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 37 Abs. 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 1225 Titel 893 01 - PrÌ_mien nach dem Wohnungsbau-PrÌ_miengesetz - bis zur HÌ¦he von 30 Mio. ‰âÂ,2013;;;;;;
0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,EU (fdf) - AV - G - U - Vk - Wi,20.12.2013,EU,819/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber die Verringerung der nationalen Emissionen bestimmter Luftschadstoffe und zur Ìãnderung der Richtlinie 2003/35/EG,2013;;;;;;
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,EU (fdf) - AV - U - Wi,19.12.2013,EU,818/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur Begrenzung der Emissionen bestimmter Schadstoffe aus mittelgroÌÙen Feuerungsanlagen in die Luft,2013;;;;;;
"0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,EU (fdf) - AV - G - In - K - U - Vk - Wi,19.12.2013,EU,817/13,0,""Mitteilung der Kommission an das EuropÌ_ische Parlament, den Rat, den EuropÌ_ischen Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen Ì_ber ein Programm """"Saubere Luft fÌ_r Europa"""""",2013";;;;;;
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,EU (fdf) - AV - G,19.12.2013,EU,816/13,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates Ì_ber neuartige Lebensmittel,2013;;;;;;
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,EU (fdf) - AV - G,19.12.2013,EU,815/13,0,Vorschlag fÌ_r eine Richtlinie des Rates Ì_ber das Inverkehrbringen von Lebensmitteln von Klontieren,2013;;;;;;
"0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,EU (fdf) - AV - G,19.12.2013,EU,814/13,0,""Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber das Klonen von Rindern, Schweinen, Schafen, Ziegen und Equiden, die fÌ_r landwirtschaftliche Zwecke gehalten und reproduziert werden"",2013";;;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),13.12.2013,Wi,813/13,0,TÌ_tigkeitsbericht 2012/2013 der Bundesnetzagentur - Post mit Sondergutachten der Monopolkommission - Post 2013: Wettbewerbsschutz effektivieren,2013;;;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),13.12.2013,Wi,812/13,0,TÌ_tigkeitsbericht 2012/2013 der Bundesnetzagentur - Telekommunikation mit Sondergutachten der Monopolkommission - Telekommunikation 2013: Vielfalt auf den MÌ_rkten erhalten,2013;;;;;;
"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,EU (fdf) - Fz,19.12.2013,EU,811/13,0,""EntschlieÌÙung des Bundesrates zur angestrebten EinfÌ_hrung von europÌ_ischen RechnungsfÌ_hrungsstandards (EPSAS) zu dem Bericht der Kommission vom 6.3.2013 an den Rat und das EuropÌ_ische Parlament - Die angestrebte Umsetzung harmonisierter RechnungsfÌ_hrungsgrundsÌ_tze fÌ_r den Ì¦ffentlichen Sektor in den Mitgliedstaaten - Die Eignung der IPSAS fÌ_r die Mitgliedstaaten COM(2013) 114 final sowie zu dem Beschluss des Deutschen Bundestages vom 27. Juni 2013 (TOP 37";" zu Drucksachen 17/13183 Nr. A.12, 17/14148)"",2013";;;;;
,,,,,,,,,,,,,,,,19.12.2013,,810/13,,Dreizehntes Gesetz zur Ìãnderung des FÌ_nften Buches Sozialgesetzbuch (13. SGB V-Ìãnderungsgesetz - 13. SGB V-ÌãndG),2013;;;;;;
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,EU (fdf) - Fz - R - Wi,17.12.2013,EU,809/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber den Rechtsrahmen der EuropÌ_ischen Union in Bezug auf Zollrechtsverletzungen und Sanktionen,2013;;;;;;
"0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,EU (fdf) - Fz - U - Vk - Wi,17.12.2013,EU,808/13,0,""Vorschlag fÌ_r eine Verordnung des Rates zur GrÌ_ndung des Gemeinsamen Unternehmens """"Shift2Rail"""""",2013";;;;;;
"0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,EU (fdf) - In - U - Vk - Wi - Wo,17.12.2013,EU,807/13,0,""Mitteilung der Kommission an das EuropÌ_ische Parlament, den Rat, den EuropÌ_ischen Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen: Gemeinsam fÌ_r eine wettbewerbsfÌ_hige und ressourceneffiziente MobilitÌ_t in der Stadt"",2013";;;;;;
,,,,,,,,,,,,,,,,16.12.2013,,806/13,,Bericht der Bundesregierung Ì_ber den Stand von Sicherheit und Gesundheit bei der Arbeit und Ì_ber das Unfall- und Berufskrankheitengeschehen in der Bundesrepublik Deutschland im Jahr 2012,2013;;;;;;
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Fz (fdf) - In,16.12.2013,Fz,805/13,0,Verordnung zur Festsetzung der ErhÌ¦hungszahl fÌ_r die Gewerbesteuerumlage nach å¤ 6 Absatz 5 des Gemeindefinanzreformgesetzes im Jahr 2014,2013;;;;;;
